meter,Date,t_kWh
BR02,2019-07-10,6.959999999999997
BR02,2019-07-11,4.910999999999991
BR02,2019-07-13,5.872999999999988
BR02,2019-07-14,5.457999999999984
BR02,2019-07-15,4.859999999999995
BR02,2019-07-16,4.281999999999985
BR02,2019-07-17,4.421999999999985
BR02,2019-07-18,4.33699999999998
BR02,2019-07-19,5.441999999999984
BR02,2019-07-20,5.650999999999988
BR02,2019-07-30,5.847999999999994
BR02,2019-07-31,5.8319999999999865
BR02,2019-08-01,5.006999999999988
BR02,2019-08-04,7.383999999999983
BR02,2019-08-05,6.977999999999994
BR02,2019-08-06,5.2839999999999945
BR02,2019-08-07,5.651999999999995
BR02,2019-08-08,4.7749999999999835
BR02,2019-08-09,5.005999999999984
BR02,2019-08-10,5.8899999999999775
BR02,2019-08-11,6.689999999999979
BR02,2019-08-12,6.959999999999987
BR02,2019-08-13,6.274999999999988
BR02,2019-08-14,6.181999999999993
BR02,2019-08-15,6.84099999999998
BR02,2019-08-16,6.038999999999993
BR02,2019-08-17,4.868999999999982
BR02,2019-08-18,7.319999999999975
BR02,2019-08-20,5.77799999999999
BR02,2019-08-21,7.033999999999991
BR02,2019-08-22,5.064999999999976
BR02,2019-08-23,6.423999999999991
BR02,2019-08-24,6.281999999999996
BR02,2019-08-25,5.9699999999999775
BR02,2019-08-26,5.821999999999988
BR02,2019-08-27,6.524999999999971
BR02,2019-08-28,7.232999999999979
BR02,2019-08-29,5.885999999999995
BR02,2019-08-30,6.677999999999995
BR02,2019-08-31,6.700999999999998
BR02,2019-09-01,6.771999999999985
BR02,2019-09-02,7.334999999999988
BR02,2019-09-03,6.131999999999991
BR02,2019-09-04,6.833999999999974
BR02,2019-09-05,5.684999999999974
BR02,2019-09-06,5.889999999999989
BR02,2019-09-07,3.947999999999987
BR02,2019-09-08,3.8639999999999874
BR02,2019-09-09,3.177999999999992
BR02,2019-09-10,4.245999999999999
BR02,2019-09-11,7.337999999999982
BR02,2019-09-12,7.421999999999993
BR02,2019-09-14,5.327999999999989
BR02,2019-09-15,6.300999999999992
BR02,2019-09-16,6.213999999999971
BR02,2019-09-17,6.393999999999992
BR02,2019-09-18,4.969999999999972
BR02,2019-09-19,5.5979999999999865
BR02,2019-09-20,5.9909999999999854
BR02,2019-09-21,5.770999999999985
BR02,2019-09-23,5.830999999999987
BR02,2019-09-24,5.126999999999983
BR02,2019-09-25,5.1639999999999695
BR02,2019-09-27,3.145999999999991
BR02,2019-09-28,2.3489999999999833
BR02,2019-09-29,4.227999999999983
BR02,2019-09-30,4.368999999999982
BR02,2019-10-01,2.4259999999999833
BR02,2019-10-02,4.742999999999979
BR02,2019-10-05,4.530999999999971
BR02,2019-10-06,2.577999999999984
BR02,2019-10-08,4.574999999999977
BR02,2019-10-09,4.373999999999979
BR02,2019-10-10,4.405999999999985
BR02,2019-10-11,4.759999999999983
BR02,2019-10-12,4.441999999999971
BR02,2019-10-13,4.845999999999983
BR02,2019-10-14,5.113999999999999
BR02,2019-10-15,5.246999999999982
BR02,2019-10-16,4.364999999999979
BR02,2019-10-17,5.37699999999998
BR02,2019-10-18,4.657999999999982
BR02,2019-10-19,4.79699999999998
BR02,2019-10-20,5.120999999999979
BR02,2019-10-21,3.397999999999987
BR02,2019-10-22,4.600999999999985
BR02,2019-10-23,2.920999999999982
BR02,2019-10-24,3.52099999999998
BR02,2019-10-25,3.2899999999999796
BR02,2019-10-26,3.89599999999998
BR02,2019-10-27,3.4729999999999888
